AeolusBagOfWinds objects/aeolus_bag_of_winds.png Scheria 1150
LotusEaterLotus objects/lotus_eater_lotus.png Ogygia 500
OdysseusBow objects/odysseus_bow.png Ismarus 1050
SirensLyre objects/sirens_lyre.png Aeolia 675
HeliosCattleBell objects/helios_cattle_bell.png Thrinacia 800
TridentOfPoseidon objects/trident_of_poseidon.png Scheria 1500
AegisFragment objects/aegis_fragment.png Scheria 1250
GoldenFleece objects/golden_fleece.png Ogygia 1400
CircesWand objects/circes_wand.png Ogygia 1000
CyclopsWineJar objects/cyclops_wine_jar.png Ismarus 475
HermesWingedSandal objects/hermes_winged_sandal.png Aeolia 1200
OracleAmphora objects/oracle_amphora.png Ogygia 600
AriadnesThreadSpool objects/ariadnes_thread_spool.png Scheria 700
TritonsConchHorn objects/tritons_conch_horn.png Thrinacia 650
CharonsObol objects/charons_obol.png Ismarus 450
HecatesLantern objects/hecates_lantern.png Ismarus 950
AmbrosiaFlask objects/ambrosia_flask.png Aeolia 1300
HephaestusForgeTongs objects/hephaestus_forge_tongs.png Thrinacia 625
LaurelCrownOfApollo objects/laurel_crown_of_apollo.png Scheria 750
LabyrinthTablet objects/labyrinth_tablet.png Ogygia 575
NereidPearlNecklace objects/nereid_pearl_necklace.png Aeolia 550
TalosBronzeRivet objects/talos_bronze_rivet.png Ismarus 400
PersephonesPomegranate objects/persephones_pomegranate.png Thrinacia 850
AtlasStarAstrolabe objects/atlas_star_astrolabe.png Thrinacia 900
